sepal length (cm),sepal width (cm),petal length (cm),petal width (cm),target,state
7.0,2.8,5.7,1.9,virginica,Washington
5.8,2.9,4.0,1.2,versicolor,Washington
4.4,3.4,1.3,0.1,setosa,Washington
5.2,3.9,1.4,0.3,setosa,Washington
7.9,3.3,5.4,1.5,virginica,Washington
5.0,3.1,4.5,1.2,versicolor,Washington
4.8,3.5,1.4,0.3,setosa,Washington
6.5,3.3,4.3,1.0,versicolor,Washington
6.5,2.7,5.3,2.0,virginica,Washington
6.6,3.0,5.7,1.7,virginica,Washington
7.3,2.6,5.1,2.2,virginica,Washington
7.0,2.9,5.1,1.7,virginica,Washington
5.0,3.5,1.5,0.3,setosa,Washington
5.7,3.4,4.3,1.5,versicolor,Washington
6.7,2.7,5.5,1.3,versicolor,Washington
7.3,2.7,5.8,2.5,virginica,Washington
4.6,3.1,1.6,0.2,setosa,Washington
4.5,3.5,1.4,0.3,setosa,Washington
4.7,4.1,1.6,0.4,setosa,Washington
5.6,3.1,1.4,0.2,setosa,Washington
4.7,3.5,1.7,0.2,setosa,Washington
6.3,2.6,4.4,1.3,versicolor,Washington
6.2,3.5,4.8,2.3,virginica,Washington
4.9,3.5,1.4,0.3,setosa,Washington
6.9,2.7,4.8,1.3,versicolor,Washington
6.3,3.3,3.4,1.1,versicolor,Washington
6.4,3.1,4.2,1.0,versicolor,Washington
6.0,2.8,6.5,1.9,virginica,Washington
6.0,2.8,5.9,2.1,virginica,Washington
5.8,2.8,4.3,1.4,versicolor,Washington
7.9,2.9,5.9,2.2,virginica,Washington
5.9,3.1,4.1,0.8,versicolor,Washington
6.2,2.7,4.6,1.6,versicolor,Washington
6.0,3.2,4.9,1.6,versicolor,Washington
5.7,3.0,4.6,1.5,versicolor,Washington
5.3,3.0,5.2,2.3,virginica,Washington
6.3,3.4,4.4,1.6,virginica,Washington
8.3,2.7,4.9,1.9,virginica,Washington
6.5,2.9,5.5,1.9,virginica,Washington
4.5,3.2,1.7,0.1,setosa,Washington
5.9,2.6,5.2,1.1,versicolor,Washington
6.4,3.6,6.0,2.1,virginica,Washington
6.7,3.1,5.7,2.0,virginica,Washington
7.6,3.2,4.7,1.2,versicolor,Washington
5.6,3.2,1.4,0.1,setosa,Washington
7.1,3.2,6.6,2.1,virginica,Washington
7.0,2.9,5.3,1.8,virginica,Washington
5.1,3.3,1.3,0.4,setosa,Washington
6.6,2.4,6.2,2.5,virginica,Washington
5.3,2.6,3.8,1.2,versicolor,Washington
5.4,2.5,6.1,1.4,versicolor,Florida
6.1,3.4,5.1,1.1,versicolor,Florida
4.7,3.8,2.2,0.3,setosa,Florida
6.1,2.5,6.0,1.1,versicolor,Florida
6.7,2.5,5.0,1.7,versicolor,Florida
7.4,2.8,6.9,2.2,virginica,Florida
5.0,3.6,2.4,0.4,setosa,Florida
5.0,2.8,2.3,0.3,setosa,Florida
6.5,2.5,5.6,1.3,versicolor,Florida
6.6,2.7,5.7,2.5,virginica,Florida
5.9,2.5,4.6,1.6,versicolor,Florida
6.5,2.9,5.1,1.2,versicolor,Florida
4.6,3.1,2.3,0.5,setosa,Florida
5.7,2.3,6.2,1.4,versicolor,Florida
6.3,2.9,6.0,1.0,versicolor,Florida
5.8,3.6,5.7,1.4,versicolor,Florida
6.2,2.8,7.4,2.2,virginica,Florida
5.5,3.2,2.5,0.2,setosa,Florida
6.5,3.2,5.5,1.3,versicolor,Florida
6.0,2.8,4.9,1.2,versicolor,Florida
4.9,4.1,2.5,0.3,setosa,Florida
5.6,4.3,2.5,0.3,setosa,Florida
5.4,2.3,4.9,1.3,versicolor,Florida
5.9,3.0,7.7,2.1,virginica,Florida
6.6,2.6,6.0,1.4,versicolor,Florida
6.9,2.9,6.9,1.5,virginica,Florida
5.0,3.8,2.6,0.4,setosa,Florida
5.9,3.5,5.8,1.7,versicolor,Florida
4.5,2.9,2.7,0.2,setosa,Florida
5.1,3.3,2.5,0.3,setosa,Florida
5.5,3.0,5.6,1.0,versicolor,Florida
5.5,2.6,5.1,1.3,versicolor,Florida
5.8,3.3,2.3,0.3,setosa,Florida
7.7,3.5,6.4,2.1,virginica,Florida
6.2,2.7,6.3,1.9,virginica,Florida
5.2,3.2,2.4,0.2,setosa,Florida
6.5,2.9,6.3,2.1,virginica,Florida
5.1,3.4,2.5,0.3,setosa,Florida
5.5,3.4,5.5,1.2,versicolor,Florida
4.8,3.7,2.5,0.1,setosa,Florida
4.7,2.6,2.5,0.3,setosa,Florida
6.6,3.5,6.8,2.4,virginica,Florida
6.8,2.1,6.0,1.8,virginica,Florida
4.9,3.5,2.3,0.5,setosa,Florida
6.0,3.0,5.5,1.7,virginica,Florida
5.8,2.7,5.2,0.8,versicolor,Florida
5.6,3.5,5.7,2.0,virginica,Florida
6.6,2.9,5.3,1.7,versicolor,Florida
6.3,3.0,4.9,1.6,virginica,Florida
6.4,2.7,5.2,1.4,versicolor,Florida
7.2,3.0,5.5,1.9,virginica,Missouri
7.4,2.6,4.9,1.4,virginica,Missouri
5.3,2.9,4.4,1.5,versicolor,Missouri
6.6,2.5,5.7,2.3,virginica,Missouri
4.6,3.6,1.3,0.3,setosa,Missouri
7.6,3.5,5.2,1.9,virginica,Missouri
4.8,3.4,1.7,0.4,setosa,Missouri
6.0,2.4,3.8,1.2,versicolor,Missouri
6.4,2.8,7.6,2.0,virginica,Missouri
4.7,3.7,1.3,0.2,setosa,Missouri
6.0,3.4,4.0,1.2,versicolor,Missouri
5.6,2.2,5.8,2.1,virginica,Missouri
5.4,3.6,1.7,0.2,setosa,Missouri
5.6,3.1,5.4,1.9,virginica,Missouri
4.7,3.0,1.5,0.2,setosa,Missouri
4.4,3.6,1.5,0.2,setosa,Missouri
5.1,3.0,1.5,0.4,setosa,Missouri
5.9,2.7,4.9,1.2,versicolor,Missouri
5.2,3.1,4.5,1.7,versicolor,Missouri
6.7,2.6,4.3,1.4,versicolor,Missouri
4.4,3.3,1.4,0.2,setosa,Missouri
4.7,3.0,1.6,0.2,setosa,Missouri
7.2,2.7,5.3,2.0,virginica,Missouri
5.9,3.3,5.8,2.4,virginica,Missouri
5.8,3.2,4.2,1.2,versicolor,Missouri
5.1,2.6,5.7,2.3,virginica,Missouri
4.7,3.8,1.4,0.3,setosa,Missouri
6.1,2.5,4.1,1.9,virginica,Missouri
6.9,3.0,5.7,1.9,virginica,Missouri
5.2,3.7,1.5,0.0,setosa,Missouri
5.9,2.8,5.6,1.7,virginica,Missouri
7.1,3.0,5.9,2.1,virginica,Missouri
5.0,3.2,1.6,0.3,setosa,Missouri
6.7,2.8,5.5,1.9,virginica,Missouri
5.3,3.0,1.6,0.3,setosa,Missouri
5.1,2.8,1.3,0.2,setosa,Missouri
5.1,4.2,1.5,0.2,setosa,Missouri
5.6,2.7,4.3,1.2,versicolor,Missouri
6.4,3.3,4.2,1.3,versicolor,Missouri
7.6,2.6,5.1,2.0,virginica,Missouri
5.7,3.0,4.3,1.7,versicolor,Missouri
5.0,3.2,1.5,0.1,setosa,Missouri
5.2,3.0,1.6,0.2,setosa,Missouri
6.1,2.4,3.7,1.1,versicolor,Missouri
7.5,3.2,4.5,2.0,virginica,Missouri
4.9,4.0,1.2,0.4,setosa,Missouri
5.0,4.0,1.4,0.1,setosa,Missouri
4.6,3.0,1.2,0.3,setosa,Missouri
5.1,4.0,1.6,0.3,setosa,Missouri
5.4,2.7,3.6,1.4,versicolor,Missouri
